"범죄별(1)",범죄별(2),범죄별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"범죄별(1)",범죄별(2),범죄별(3),자영자,자영자,자영자,자영자,자영자,자영자,자영자,자영자,자영자,자영자,자영자,자영자,자영자,자영자,자영자,자영자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,전문직,전문직,전문직,전문직,전문직,전문직,전문직,공무원,공무원,기타,기타,기타,기타,기타,기타
"범죄별(1)",범죄별(2),범죄별(3),농임수산업,광업,제조업,건설업,도소매업,무역업,요식업,숙박업,유흥업,금융업,부동산업,의료보건업,차량정비업,노점,행상,기타사업,교원(사립),사무원,기술자,점원,공원,운전자,경비원,외판원,국공영기업체직원,일반회사원,금융기관직원,유흥업종사자,요식업종사자,일용노동자,기타피고용자,의사,변호사,교수,종교가,언론인,예술인,기타전문직,공무원,군인,학생,주부,전경 의경,공익요원,무직자,미상
"형법범",위조범죄,유가증권·인지·우표,1,-,1,1,1,-,-,-,-,-,2,-,-,-,-,10,-,-,1,-,-,1,-,-,-,6,-,-,-,-,2,-,-,-,-,-,-,3,-,-,-,-,-,-,16,43
"형법범",위조범죄,문서,271,2,60,360,32,14,37,17,5,17,217,2,5,2,-,1613,12,74,39,25,18,90,26,39,2,1102,35,-,30,134,557,72,41,17,59,8,7,381,665,-,584,207,-,4,2069,3914
"형법범",위조범죄,인장,21,-,1,5,-,1,1,-,2,-,2,1,2,-,-,62,-,1,1,-,1,6,-,1,1,51,3,-,-,7,34,1,-,-,5,-,-,16,17,-,29,2,-,-,67,98
"형법범",공무원범죄,직무유기,1,-,-,2,-,-,-,-,-,-,1,2,-,-,-,14,6,1,-,-,-,-,-,-,5,14,-,-,-,-,2,2,2,2,-,-,1,5,1000,-,-,3,-,-,18,706
"형법범",공무원범죄,직권남용,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,5,4,-,-,-,-,-,-,-,11,-,-,-,-,3,-,4,2,-,1,-,5,1097,-,-,1,-,-,36,1315
"형법범",공무원범죄,수뢰,5,-,1,21,2,6,2,-,-,-,3,-,-,-,-,68,8,2,-,-,-,-,1,-,8,58,2,-,-,-,10,4,1,6,-,11,2,11,204,-,1,9,-,-,47,206
"형법범",공무원범죄,증뢰,14,-,-,9,-,-,-,-,-,-,4,-,-,-,-,65,-,1,-,-,-,-,-,-,3,26,-,-,-,1,3,-,-,-,-,-,-,3,36,-,-,3,-,-,17,96
"형법범",풍속범죄,도박과복표,620,1,67,356,32,8,143,15,47,8,80,1,14,12,1,2292,-,9,119,4,34,795,52,34,2,1604,1,14,81,575,1056,4,-,-,14,4,9,140,41,1,187,240,1,12,3442,2176
"형법범",풍속범죄,신앙,31,-,-,11,-,-,-,1,-,-,2,-,1,1,-,41,-,1,3,-,-,12,-,9,1,21,1,-,3,6,7,2,-,1,6,-,-,7,4,-,-,2,-,-,66,125
"형법범",풍속범죄,기타음란행위,17,-,5,26,3,-,13,1,1,-,5,-,5,5,-,101,4,5,19,5,8,46,10,3,4,287,1,1,16,63,187,2,1,-,2,1,-,29,21,-,175,-,-,1,642,327
